Arsenal,Aston Villa,Birmingham,Blackburn,Blackpool,Bolton,Chelsea,Everton,Fulham,Liverpool,Man City,Man Utd,Newcastle,Stoke,Sunderland,Tottenham,West Brom,West Ham,Wigan,Wolves
1,3,1,3,3,1,3,0,1,1,1,3,0,0,1,1,0,0,0,3
3,0,3,0,0,3,3,1,1,0,3,1,3,0,0,3,3,0,0,1
3,3,1,0,1,1,3,0,1,3,0,3,1,0,3,0,0,0,3,1
3,0,1,1,3,0,3,1,3,1,1,1,0,3,1,1,1,0,1,0
1,1,0,1,0,1,3,0,1,0,3,3,3,1,1,3,3,1,0,0
0,3,1,3,0,1,0,1,1,1,3,1,0,3,1,0,3,3,1,0
0,0,0,0,3,1,3,3,1,0,3,1,0,3,1,3,1,1,3,0
3,1,0,1,0,3,1,3,0,0,3,1,1,0,1,3,1,1,1,1
3,0,3,0,0,1,3,1,0,3,0,3,3,0,3,1,3,0,1,0
3,1,1,0,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,3
0,1,1,3,1,3,0,1,1,3,3,3,3,0,3,0,0,1,0,0
3,3,0,3,0,1,3,1,0,1,1,1,0,3,1,1,1,1,1,0
3,1,1,0,1,3,0,0,1,0,1,1,1,3,3,3,0,1,3,0
0,0,3,3,3,3,0,1,0,3,3,3,0,3,1,3,0,0,0,0
3,0,1,0,1,1,1,0,1,0,1,3,1,1,0,3,3,3,0,3
3,0,1,3,3,0,1,1,0,3,3,3,0,1,3,1,3,0,1,0
0,3,0,0,3,3,1,1,1,0,3,3,3,0,1,1,0,0,1,3
3,0,1,1,0,0,0,3,0,0,0,1,0,3,3,3,0,1,3,0
1,0,0,0,0,3,3,1,3,3,3,3,0,0,0,3,0,3,1,3
3,1,3,3,3,0,1,0,0,0,3,3,3,3,0,3,0,1,0,0
1,0,1,0,0,0,0,3,3,0,3,1,3,0,3,0,0,3,1,3
3,1,0,3,0,1,3,1,1,1,1,3,1,3,3,1,3,0,1,0
3,3,1,0,0,0,3,1,3,3,3,3,1,0,1,1,0,0,0,0
3,3,3,3,0,0,3,0,0,3,0,3,0,0,3,3,1,1,0,0
1,0,3,0,0,3,0,3,3,3,1,0,1,3,0,3,0,3,1,3
3,1,0,0,1,0,1,0,1,3,3,3,1,0,0,3,1,0,3,0
3,1,0,1,3,3,3,3,1,1,0,3,3,0,0,0,1,1,1,1
1,3,1,0,0,1,3,3,1,0,1,0,1,1,0,1,1,3,0,3
1,0,0,0,0,3,3,1,3,3,3,0,0,0,1,1,3,3,0,1
1,0,3,1,1,0,1,3,0,3,0,3,0,3,0,1,1,1,3,3
3,1,1,1,0,0,3,1,3,0,3,3,3,1,0,3,3,0,1,0
1,3,3,1,0,3,3,3,0,3,0,3,0,0,0,1,3,0,0,0
1,3,0,0,0,3,3,3,1,1,3,1,1,1,0,1,0,0,3,1
0,1,0,0,1,0,3,0,3,3,3,3,1,3,3,0,1,0,0,0
3,0,1,3,1,0,3,1,3,3,0,0,0,1,0,1,3,0,1,1
0,1,0,1,1,0,0,3,0,3,3,3,3,3,3,0,0,1,1,3
0,3,0,1,3,0,1,0,3,0,3,1,1,0,0,3,3,0,3,3
1,3,0,3,0,0,0,3,1,0,3,3,1,0,3,3,1,0,3,0
