Arsenal,Aston Villa,Bournemouth,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Sheffield Utd,Southampton,Tottenham,Watford,West Ham,Wolves
3,0,1,3,3,0,1,1,1,3,3,3,0,0,1,0,3,0,0,1
3,0,3,1,0,1,0,3,1,3,1,1,0,3,3,0,1,0,1,1
0,3,0,0,1,3,3,0,3,3,3,0,3,0,0,3,0,0,3,1
1,0,0,0,0,1,3,3,3,3,3,1,1,0,1,1,1,1,3,0
1,1,3,1,1,3,0,0,0,3,0,3,0,3,0,3,3,1,1,0
3,0,3,1,3,0,1,0,3,3,3,0,1,0,3,0,0,0,3,1
1,1,1,0,1,3,3,0,3,3,3,1,0,0,0,0,3,0,1,3
3,3,0,3,3,3,3,0,0,3,0,0,3,0,1,0,0,1,0,3
0,3,1,0,0,3,0,3,3,1,3,1,0,1,3,1,1,1,0,1
1,0,1,3,0,3,1,0,3,3,3,3,1,0,1,0,0,1,1,1
1,0,3,3,0,3,0,1,3,3,3,0,3,0,3,0,1,0,0,1
0,0,0,0,3,3,0,3,3,3,0,3,3,0,1,0,1,3,0,3
1,3,0,0,3,0,0,0,3,3,3,1,0,3,1,1,3,0,0,3
1,1,0,0,0,0,3,0,3,3,1,1,1,1,1,3,3,0,3,1
0,0,0,3,0,3,3,0,3,3,3,3,3,0,0,3,0,0,0,3
3,0,0,1,0,0,1,3,3,3,0,3,3,0,3,0,3,1,0,1
0,0,3,1,3,0,1,1,1,3,3,1,0,1,3,0,3,0,3,0
1,0,0,0,3,3,0,1,0,3,3,0,3,0,3,3,0,3,0,3
1,3,1,0,0,0,3,3,0,3,0,3,0,0,1,3,3,1,0,3
0,0,0,3,0,3,1,3,3,3,3,3,0,1,0,1,1,3,3,0
3,3,0,1,0,1,1,0,3,3,3,0,0,1,0,3,0,3,0,0
1,0,0,0,0,3,1,3,0,3,3,3,1,0,3,3,0,3,1,1
1,1,0,1,3,0,1,1,0,3,1,0,3,3,1,0,1,1,0,3
1,3,3,0,3,1,0,1,3,3,3,0,1,0,0,3,3,0,0,0
1,0,3,1,1,1,0,3,1,3,0,1,1,1,3,0,3,0,1,1
3,0,0,1,3,0,0,3,1,3,3,3,0,0,3,0,3,1,0,1
3,0,0,1,3,3,3,0,0,3,3,3,0,0,1,3,0,0,0,3
3,0,1,0,1,1,3,1,0,0,0,1,1,3,3,0,0,3,3,3
0,1,0,1,1,3,3,0,3,3,3,3,3,0,1,0,1,0,0,1
0,0,0,3,0,3,3,1,1,1,3,1,3,0,0,3,1,1,0,3
3,1,0,1,3,3,0,3,1,3,0,3,1,0,0,0,3,0,0,3
3,0,0,0,3,0,0,3,0,0,3,3,3,0,3,3,0,0,3,3
3,0,0,3,1,3,0,0,3,3,0,3,1,0,1,3,3,0,1,0
1,0,1,0,3,3,0,1,1,3,3,3,0,0,3,1,1,3,0,0
0,3,3,0,1,0,0,0,0,1,3,1,0,0,3,1,3,3,3,3
3,1,0,1,1,3,0,1,3,0,3,3,0,0,0,1,3,0,3,1
0,3,0,1,3,0,0,3,0,3,3,1,1,0,0,3,3,0,1,3
3,1,3,3,0,3,1,0,0,3,3,3,0,0,0,3,1,0,1,0
